Session;/home/enorhe/Work/UiO/el_phys/data/combined_session/DVH_2012101525.6
Cut;/home/enorhe/Work/UiO/el_phys/data/combined_session/DVH_2012101525_6.cut
Stim synch;/home/enorhe/Work/UiO/el_phys/data/session_semi-old/StimLog-2709-1752.mat

Cell #;OSI;fOSI;0;45;90;135;180;225;270;315
1;0,10067;0,050491;28;36;30;33;22;41;29;34
