Session;/home/enorhe/Work/UiO/hafting-fyhn-tetrode/trunk/examples/ex_data/kombinerte_filer/DHV_2012060230.1
Cut;/home/enorhe/Work/UiO/hafting-fyhn-tetrode/trunk/examples/ex_data/kombinerte_filer/DHV_2012060230mfcom_1.cut
Stim synch;/home/enorhe/Work/UiO/hafting-fyhn-tetrode/trunk/examples/ex_data/session_semi-old/StimLog-2709-1752.mat

Cell #;OSI;fOSI;0;45;90;135;180;225;270;315
1;0,15254;0,03114;6;6;13;15;17;13;12;6
2;0,15942;0,041667;14;16;11;20;12;13;20;9
3;0,22374;0,07187;84;89;74;98;86;88;134;41
