Session;/home/enorhe/Work/UiO/el_phys/data/combined_session/DVH_2012101526.8
Cut;/home/enorhe/Work/UiO/el_phys/data/combined_session/DVH_2012101526_8.cut
Stim synch;/home/enorhe/Work/UiO/el_phys/data/session_semi-old/StimLog-2709-1752.mat

Cell #;OSI;fOSI;0;45;90;135;180;225;270;315
1;0,125;0,035162;18;17;22;24;27;22;20;10
2;0,075099;0,015574;136;109;122;113;101;115;112;97
3;0,10983;0,042487;85;81;82;96;70;73;68;86
4;0,17808;0,068502;43;30;21;25;30;35;39;27
5;0,10429;0,018878;74;74;79;90;74;72;61;64
