Session;/home/enorhe/Work/UiO/el_phys/data/session_ancient/r1040090712s3.8
Cut;/home/enorhe/Work/UiO/el_phys/data/session_ancient/r1040090712s3_8.cut
Stim synch;/home/enorhe/Work/UiO/el_phys/data/session_ancient/StimLog-0907-1037.mat

Cell #;OSI;fOSI;0;45;90;135;180;225;270;315
1;0,055165;0,01944;238;249;263;253;233;203;177;218
2;0,36126;0,11264;63;65;57;27;48;45;49;34
3;0,09833;0,085516;127;99;148;141;116;89;111;136
4;0,058824;0,05217;81;95;105;108;90;97;108;81
5;0,25373;0,090225;159;212;216;188;191;213;294;195
6;0,10734;0,088667;46;32;30;43;36;47;25;49
7;0,38583;0,19308;88;64;42;37;87;70;36;42
