Session;/home/enorhe/Work/UiO/hafting-fyhn-tetrode/examples/ex_data/kombinerte_filer/DHV_2012060232.1
Cut;/home/enorhe/Work/UiO/hafting-fyhn-tetrode/examples/ex_data/kombinerte_filer/DHV_2012060230mfcom_1.cut
Stim synch;/home/enorhe/Work/UiO/hafting-fyhn-tetrode/examples/ex_data/session_semi-old/StimLog-2709-1752.mat

Cell #;OSI;fOSI;0;45;90;135;180;225;270;315
1;0,16667;0,050847;20;26;19;30;26;34;27;42
2;0,13333;0,027269;27;34;24;24;21;23;27;28
3;0,081571;0,029419;166;166;157;154;171;138;154;179
